probe_cost,failure_penalty,irreversible_rate,method,rows,mean_cost,mean_failures,mean_representation_size,mean_gcs_cost,mean_replan_cost,delta_vs_replan
0.25,1.0,0.0,behavior_tree_fallback,10,68.0,0.0,208.0,68.0,84.4,-16.4
0.25,1.0,0.0,gcs_eager,10,68.0,0.0,273.0,68.0,84.4,-16.4
0.25,1.0,0.0,gcs_lazy,10,68.0,0.0,300.3,68.0,84.4,-16.4
0.25,1.0,0.0,oracle_assignment,10,64.0,0.0,64.0,68.0,84.4,-20.4
0.25,1.0,0.0,probe_all_local,10,68.0,0.0,273.0,68.0,84.4,-16.4
0.25,1.0,0.0,replan_on_failure,10,84.4,6.8,64.0,68.0,84.4,0.0
0.25,1.0,0.25,behavior_tree_fallback,10,67.925,0.0,207.7,67.925,85.93125,-18.00625
0.25,1.0,0.25,gcs_eager,10,67.925,0.0,272.7,67.925,85.93125,-18.00625
0.25,1.0,0.25,gcs_lazy,10,67.925,0.0,299.97,67.925,85.93125,-18.00625
0.25,1.0,0.25,oracle_assignment,10,64.0,0.0,64.0,67.925,85.93125,-21.93125
0.25,1.0,0.25,probe_all_local,10,67.925,0.0,272.7,67.925,85.93125,-18.00625
0.25,1.0,0.25,replan_on_failure,10,85.93125,6.9625,64.0,67.925,85.93125,0.0
0.25,1.0,0.5,behavior_tree_fallback,10,67.975,0.0,207.9,67.975,86.94375,-18.96875
0.25,1.0,0.5,gcs_eager,10,67.975,0.0,272.9,67.975,86.94375,-18.96875
0.25,1.0,0.5,gcs_lazy,10,67.975,0.0,300.19,67.975,86.94375,-18.96875
0.25,1.0,0.5,oracle_assignment,10,64.0,0.0,64.0,67.975,86.94375,-22.94375
0.25,1.0,0.5,probe_all_local,10,67.975,0.0,272.9,67.975,86.94375,-18.96875
